class
sln,major_abbr,course_num,section,building_abbr,room
12880,CSE,121,A,KNE,210
12881,CSE,121,AA,MGH,74
12882,CSE,121,AB,MGH,74
12883,CSE,121,AC,MGH,74
12884,CSE,121,AD,MGH,248
12885,CSE,121,AE,MGH,284
12886,CSE,121,AF,MGH,74
12887,CSE,121,AG,MGH,284
12888,CSE,121,AH,MGH,248
12891,CSE,121,AK,MGH,248
12892,CSE,121,AL,MGH,74
12893,CSE,121,AM,MGH,74
12894,CSE,121,AN,MGH,284
12907,CSE,121,B,GUG,220
12908,CSE,121,BA,SAV,162
12909,CSE,121,BB,SAV,136
12910,CSE,121,BC,SAV,137
12911,CSE,121,BD,SAV,162
12912,CSE,121,BE,SAV,162
12913,CSE,121,BF,SAV,157
12914,CSE,121,BG,SAV,164
12915,CSE,121,BH,SAV,164
12917,CSE,121,BJ,SAV,168
12918,CSE,121,BK,SAV,139
12919,CSE,121,BL,SAV,164
12920,CSE,121,BM,SAV,158
12921,CSE,121,BN,MGH,284
12922,CSE,121,BO,SAV,168
12923,CSE,121,BP,SAV,130
22550,CSE,121,BQ,MGH,58
12924,CSE,122,A,KNE,130
12925,CSE,122,AA,MGH,288
12926,CSE,122,AB,MGH,288
12927,CSE,122,AC,LOW,101
12928,CSE,122,AD,MLR,316
12929,CSE,122,AE,LOW,112
12930,CSE,122,AF,LOW,114
12931,CSE,122,AG,CMU,228
12932,CSE,122,AH,MGH,288
12934,CSE,122,AJ,MGH,287
12935,CSE,122,AK,LOW,116
12936,CSE,122,AL,JHN,111
12937,CSE,122,AM,LOW,115
12938,CSE,122,AN,LOW,115
12939,CSE,122,AO,DEN,212
12940,CSE,122,AP,ART,6
22462,CSE,122,AQ,DEM,124
22463,CSE,122,AR,ARC,G070
22551,CSE,122,AS,DEN,112
12941,CSE,122,B,KNE,120
12942,CSE,122,BA,MGH,251
12943,CSE,122,BB,LOW,116
12944,CSE,122,BC,LOW,118
12945,CSE,122,BD,SAV,139
12946,CSE,122,BE,LOW,117
12947,CSE,122,BF,LOW,116
12948,CSE,122,BG,DEN,213
12949,CSE,122,BH,GUG,204
12950,CSE,122,BI,ART,4
12951,CSE,122,BJ,LOW,118
12952,CSE,122,BK,CHL,101
12953,CSE,122,BL,DEN,111
12954,CSE,122,BM,CHL,105
12955,CSE,122,BN,LOW,112
12956,CSE,122,BO,SAV,138
12957,CSE,122,BP,MGH,284
22446,CSE,122,BQ,SAV,137
22447,CSE,122,BR,THO,234
22448,CSE,122,BS,DEN,112
12958,CSE,123,A,KNE,120
12959,CSE,123,AA,SAV,158
12960,CSE,123,AB,JHN,22
12961,CSE,123,AC,LOW,117
12962,CSE,123,AD,CHL,105
12963,CSE,123,AE,LOW,118
12964,CSE,123,AF,SAV,139
12965,CSE,123,AG,LOW,106
12966,CSE,123,AH,LOW,106
12968,CSE,123,AJ,MGH,082A
12969,CSE,123,AK,LOW,113
12970,CSE,123,AL,MGH,082A
12971,CSE,123,AM,LOW,116
12972,CSE,123,AN,LOW,118
12973,CSE,123,AO,MGH,248
12974,CSE,123,AP,ART,4
22449,CSE,123,AQ,BNS,117
12975,CSE,123,B,KNE,210
12976,CSE,123,BA,SAV,158
12977,CSE,123,BB,LOW,117
12978,CSE,123,BC,MGH,284
12979,CSE,123,BD,MGH,288
12980,CSE,123,BE,MGH,288
12981,CSE,123,BF,LOW,117
12982,CSE,123,BG,MGH,74
12983,CSE,123,BH,MGH,082A
12985,CSE,123,BJ,MGH,082A
12986,CSE,123,BK,MGH,288
12988,CSE,123,BM,LOW,114
12989,CSE,123,BN,LOW,113
12990,CSE,123,BO,MGH,248
12994,CSE,143,A,SMI,120
12997,CSE,143,AC,SAV,158
13000,CSE,143,AF,SAV,157
13002,CSE,143,AH,SAV,137
13004,CSE,143,AJ,ECE,25
13005,CSE,143,AK,ECE,25
13009,CSE,143,AO,ECE,25
13013,CSE,160,A,CSE2,G20
13014,CSE,160,AA,SAV,131
13015,CSE,160,AB,SAV,168
13016,CSE,160,AC,SAV,156
13017,CSE,160,AD,SAV,136
13018,CSE,160,AE,AND,10
13019,CSE,160,AF,ECE,54
13020,CSE,160,AG,DEN,113
13021,CSE,160,AH,DEN,113
13022,CSE,160,AI,SAV,136
13023,CSE,163,A,CSE2,G20
13024,CSE,163,AA,DEN,113
13025,CSE,163,AB,DEN,113
13026,CSE,163,AC,DEN,258
13027,CSE,163,AD,DEN,258
13028,CSE,163,AE,MEB,235
13029,CSE,163,AF,SAV,168
13030,CSE,163,AG,ECE,26
13031,CSE,163,AH,JHN,26
13032,CSE,163,AI,CDH,101
13034,CSE,190,F,MGH,44
13035,CSE,190,G,MGH,44
13036,CSE,190,H,MGH,44
13037,CSE,190,I,MGH,30
13038,CSE,190,J,MGH,30
13039,CSE,190,K,MGH,30
13040,CSE,190,L,MGH,44
13041,CSE,190,M,MGH,44
13042,CSE,190,N,MGH,30
13043,CSE,190,O,MGH,44
13044,CSE,190,P,MGH,44
13045,CSE,190,Q,MGH,44
22347,CSE,190,W,CSE,305
22348,CSE,190,X,NAN,181
13046,CSE,190,Y,LOW,216
13047,CSE,190,Z,PAR,120
13048,CSE,301,A,,
13049,CSE,311,A,THO,101
13050,CSE,311,AA,LOW,101
13051,CSE,311,AB,LOW,101
13052,CSE,311,AC,LOW,205
13053,CSE,311,AD,LOW,105
13054,CSE,311,AE,LOW,105
13055,CSE,312,A,KNE,110
13056,CSE,312,AA,ECE,3
13057,CSE,312,AB,MGH,234
13058,CSE,312,AC,MGH,242
13059,CSE,312,AD,MGH,271
13060,CSE,312,AE,JHN,111
13061,CSE,312,AF,GLD,436
13062,CSE,312,AG,MGH,228
13063,CSE,312,AH,MGH,254
13070,CSE,331,A,CSE2,G20
13071,CSE,331,AA,LOW,102
13072,CSE,331,AB,MGH,234
13073,CSE,331,AC,LOW,220
13074,CSE,331,AD,LOW,220
13075,CSE,331,AE,LOW,220
13076,CSE,331,AF,ECE,54
13077,CSE,331,B,CSE2,G01
13078,CSE,331,BA,LOW,205
13079,CSE,331,BB,DEN,258
13080,CSE,331,BC,MUE,153
13081,CSE,331,BD,MUE,155
13082,CSE,332,A,CSE2,G20
13083,CSE,332,AA,ECE,3
13084,CSE,332,AB,ECE,26
13085,CSE,332,AC,MGH,242
13086,CSE,332,AD,MGH,238
13087,CSE,332,AE,MGH,251
13088,CSE,332,AF,ECE,26
13089,CSE,332,AG,ECE,31
13090,CSE,332,B,CSE2,G01
13091,CSE,332,BA,SAV,138
13092,CSE,332,BB,CMU,228
13093,CSE,332,BC,MLR,316
13096,CSE,332,BF,SAV,156
13097,CSE,333,A,CSE2,G01
13099,CSE,333,AB,MGH,242
13100,CSE,333,AC,MGH,287
13101,CSE,333,AD,ECE,54
13102,CSE,333,AE,ECE,54
13103,CSE,333,B,CSE2,G10
13104,CSE,333,BA,ECE,3
13105,CSE,333,BB,ECE,26
13106,CSE,333,BC,ECE,54
13107,CSE,333,BD,ECE,54
13108,CSE,340,A,ECE,37
13109,CSE,340,AA,MOR,225
13110,CSE,340,AB,MOR,221
13111,CSE,341,A,CSE2,G01
13114,CSE,341,AC,JHN,22
13115,CSE,341,AD,JHN,22
13116,CSE,344,A,MGH,389
13117,CSE,344,AA,MGH,228
13118,CSE,344,AB,ECE,37
13119,CSE,344,AC,JHN,26
13120,CSE,344,AD,MEB,242
13121,CSE,344,AE,DEM,4
13122,CSE,351,A,PAA,A118
13123,CSE,351,AA,MEB,242
13124,CSE,351,AB,SAV,156
13125,CSE,351,AC,BLD,392
13126,CSE,351,AD,LOW,202
13127,CSE,351,AE,LOW,205
13128,CSE,351,B,PAA,A118
13129,CSE,351,BA,MEB,242
13130,CSE,351,BB,SAV,156
13131,CSE,351,BC,BLD,392
13132,CSE,351,BD,LOW,202
13133,CSE,369,A,SMI,102
13134,CSE,371,A,MUE,153
13135,CSE,373,A,GUG,220
13136,CSE,373,AA,SAV,131
13137,CSE,373,AB,SAV,131
13138,CSE,373,AC,SAV,130
13139,CSE,373,AD,SAV,136
13140,CSE,373,AE,SAV,156
13141,CSE,373,AF,SAV,131
13143,CSE,373,AH,DEN,258
13145,CSE,373,AJ,SAV,138
13147,CSE,373,AL,PAR,220
13149,CSE,373,AN,LOW,202
13150,CSE,374,A,SIG,134
13151,CSE,390,A,,
13152,CSE,390,B,,
13153,CSE,390,C,ECE,45
13154,CSE,390,CA,MGH,248
13156,CSE,390,CC,ECE,42
13157,CSE,390,H,,
13158,CSE,390,HA,LOW,101
13159,CSE,390,HB,CSE,403
13160,CSE,390,Z,,
13161,CSE,390,ZA,DEN,258
13162,CSE,390,ZB,DEN,258
13163,CSE,391,A,CSE2,G20
13164,CSE,391,B,CSE2,G20
13165,CSE,403,A,CSE2,G10
13166,CSE,403,AA,ECE,125
13167,CSE,414,A,SIG,134
13168,CSE,414,AA,ARC,G070
13169,CSE,414,AB,CDH,110A
13170,CSE,414,AC,PAR,160
13171,CSE,414,AD,PAR,160
13172,CSE,414,AE,MEB,235
13173,CSE,414,B,SIG,134
13174,CSE,414,BA,ARC,G070
13175,CSE,414,BB,CDH,110A
13176,CSE,414,BC,PAR,160
13177,CSE,414,BD,PAR,160
13178,CSE,414,BE,MEB,235
13179,CSE,415,A,CSE2,G10
13180,CSE,416,A,PCAR,192
13181,CSE,416,AA,MGH,278
13182,CSE,416,AB,MGH,278
13183,CSE,416,AC,MGH,278
13184,CSE,416,AD,SAV,158
13185,CSE,416,AE,DEN,110
13186,CSE,416,AF,DEN,110
13187,CSE,416,AG,SAV,156
13188,CSE,416,AH,DEN,110
13189,CSE,416,B,PCAR,192
13190,CSE,416,BA,MGH,278
13191,CSE,416,BB,MGH,278
13192,CSE,416,BC,MGH,278
13193,CSE,416,BD,SAV,158
13194,CSE,416,BE,DEN,110
13195,CSE,417,A,CSE2,G10
13196,CSE,421,A,CSE2,G20
13197,CSE,421,AA,MGH,254
13198,CSE,421,AB,MGH,287
13199,CSE,421,AC,MGH,242
13200,CSE,421,AD,MEB,242
13201,CSE,421,AE,MGH,287
13202,CSE,421,AF,GLD,436
13203,CSE,427,A,CSE2,G01
13204,CSE,431,A,CSE2,G10
13205,CSE,440,A,NAN,181
13206,CSE,440,AA,MGH,58
13207,CSE,440,AB,MGH,58
13208,CSE,440,AC,MGH,58
13209,CSE,440,AD,MGH,58
13210,CSE,440,B,NAN,181
13211,CSE,440,BA,MGH,58
13212,CSE,440,BB,MGH,58
13213,CSE,440,BC,MGH,58
13214,CSE,440,BD,MGH,58
13215,CSE,442,A,CSE2,G20
13216,CSE,444,A,CSE2,G10
13217,CSE,444,AA,PAR,160
13218,CSE,444,AB,SAV,131
13219,CSE,444,AC,LOW,106
13220,CSE,444,AD,THO,119
13221,CSE,446,A,CSE2,G20
13222,CSE,446,AA,LOW,105
13223,CSE,446,AB,LOW,105
13224,CSE,446,AC,LOW,205
13225,CSE,446,AD,THO,119
13226,CSE,446,AE,ECE,42
13227,CSE,446,AF,NAN,181
13228,CSE,447,A,CSE2,G01
13230,CSE,447,AB,ECE,26
13231,CSE,447,AC,SAV,139
13232,CSE,447,AD,CHL,101
13233,CSE,447,AE,HRC,155
13234,CSE,451,A,CSE2,G10
13235,CSE,451,AA,MGH,228
13236,CSE,451,AB,MGH,251
13237,CSE,451,AC,MGH,234
13238,CSE,452,A,GWN,301
13239,CSE,452,AA,MGH,238
13240,CSE,452,AB,JHN,75
13241,CSE,452,AC,MOR,221
13242,CSE,452,AD,MGH,234
13243,CSE,452,AE,MGH,228
13244,CSE,455,A,CSE2,G20
13245,CSE,460,A,,
13246,CSE,461,A,CSE2,G01
13247,CSE,461,AA,ECE,3
13248,CSE,461,AB,ECE,3
13249,CSE,461,AC,ECE,3
13250,CSE,469,A,MGH,241
13251,CSE,473,A,CSE2,G20
13252,CSE,474,A,MOR,230
13253,CSE,475,A,MOR,230
13254,CSE,478,A,LOW,206
13255,CSE,478,AA,MGH,248
13256,CSE,478,AB,MEB,246
13257,CSE,480,A,NAN,181
13258,CSE,481,D,OUG,141
13259,CSE,481,S,OUG,141
13260,CSE,481,V,,
13261,CSE,484,A,KNE,210
13262,CSE,484,AA,ECE,125
13263,CSE,484,AB,ECE,125
13264,CSE,484,AC,HRC,145
